PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Norway,2013,3.0,Mineral industry,Mercury and compounds (as Hg),25.0
2026/02/13,Denmark,2020,4.0,Chemical industry,Chlorine and inorganic compounds (as HCl),319.0
2026/02/13,Sweden,2024,6.0,Paper and wood production and processing,Ammonia (NH3),1440283.9
2026/02/13,Norway,2009,2.0,Production and processing of metals,Arsenic and compounds (as As),81.3
2026/02/13,Sweden,2009,6.0,Paper and wood production and processing,Carbon monoxide (CO),17705000.0
2026/02/13,Sweden,2022,1.0,Energy sector,Nickel and compounds (as Ni),66.0
2026/02/13,Denmark,2024,5.0,Waste and wastewater management,Fluorine and inorganic compounds (as HF),599.5899999999999
2026/02/13,Denmark,2009,5.0,Waste and wastewater management,PCDD + PCDF (dioxins + furans) (as Teq),0.0036
2026/02/13,Denmark,2009,1.0,Energy sector,Sulphur oxides (SOX),3194000.0
2026/02/13,Denmark,2024,3.0,Mineral industry,Particulate matter (PM10),99327.0
2026/02/13,Sweden,2015,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),1137000.0
2026/02/13,Norway,2013,6.0,Paper and wood production and processing,Hydrochlorofluorocarbons (HCFCs),14.0
2026/02/13,Denmark,2012,7.0,Intensive livestock production and aquaculture,Ammonia (NH3),1449800.0
2026/02/13,Denmark,2018,4.0,Chemical industry,Chlorine and inorganic compounds (as HCl),10715.0
2026/02/13,Denmark,2008,7.0,Intensive livestock production and aquaculture,Ammonia (NH3),1344700.0
2026/02/13,Sweden,2014,4.0,Chemical industry,Nitrous oxide (N2O),206000.0
2026/02/13,Sweden,2013,3.0,Mineral industry,Nickel and compounds (as Ni),53.7
2026/02/13,Sweden,2008,4.0,Chemical industry,Ammonia (NH3),23900.0
2026/02/13,Denmark,2008,1.0,Energy sector,Arsenic and compounds (as As),27.0
2026/02/13,Norway,2009,2.0,Production and processing of metals,Non-methane volatile organic compounds (NMVOC),164000.0
2026/02/13,Denmark,2020,5.0,Waste and wastewater management,Cadmium and compounds (as Cd),4.489
