PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,Pollutant,transfers,confidentialityReason
2026/02/13,Denmark,2007,2.0,Production and processing of metals,2(f),DK.CAED/000106286.FACILITY,Pri-Dana Elektronik A/S,Hedensted,9.689376048457127,55.76188378857445,,Copper and compounds (as Cu),75.5,
2026/02/13,Denmark,2007,8.0,Animal and vegetable products from the food and beverage sector,8(a),DK.EEA/1220.FACILITY,DANISH CROWN AMBA,Skive,9.03530804109705,56.5624035236915,,Total nitrogen,75000.0,
2026/02/13,Denmark,2007,8.0,Animal and vegetable products from the food and beverage sector,8(b),DK.EEA/923.FACILITY,Carlsberg A/S,København V,12.5376066567492,55.6648324357753,,Total organic carbon(as total C or COD/3) (TOC),2130000.0,
2026/02/13,Denmark,2007,8.0,Animal and vegetable products from the food and beverage sector,8(c),DK.CAED/000097349.FACILITY,"Arla Foods Ingredients Group P/S, Danmark Protein",Videbæk,8.668409620486985,56.049655953378576,,Total nitrogen,150000.0,
2026/02/13,Denmark,2008,,,,DK.CAED/000106455.FACILITY,Novozymes A/S Hillerødgade,København N,12.534338938310867,55.69696779631953,,Total phosphorus,13000.0,
2026/02/13,Denmark,2008,9.0,Other activities,9(a),DK.EEA/6128.FACILITY,Trevira Neckelmann A/S,Silkeborg,9.5601228754577,56.1887279019294,,Total organic carbon(as total C or COD/3) (TOC),134000.0,
2026/02/13,Denmark,2009,,,,DK.CAED/000106455.FACILITY,Novozymes A/S Hillerødgade,København N,12.534338938310867,55.69696779631953,,Total organic carbon(as total C or COD/3) (TOC),191000.0,
2026/02/13,Denmark,2009,4.0,Chemical industry,4(a),DK.EEA/4789.FACILITY,pK Chemicals AS Køge,Køge,12.1919267385629,55.4862256985362,,Total organic carbon(as total C or COD/3) (TOC),388000.0,
2026/02/13,Denmark,2009,4.0,Chemical industry,4(e),DK.EEA/4418.FACILITY,Novo Nordisk A/S,Kalundborg          ,11.1214459053295,55.6711893776739,,Total organic carbon(as total C or COD/3) (TOC),74300.0,
2026/02/13,Denmark,2009,8.0,Animal and vegetable products from the food and beverage sector,8(c),DK.CAED/000099498.FACILITY,Arla Foods Amba Slagelse Mejericenter,Slagelse,11.32950445080781,55.39713544292277,,Total organic carbon(as total C or COD/3) (TOC),267000.0,
2026/02/13,Denmark,2011,4.0,Chemical industry,4(e),DK.CAED/000104565.FACILITY,H. Lundbeck A/S,Nykøbing Sj,11.509317235208805,55.943369885765065,,Total organic carbon(as total C or COD/3) (TOC),55800.0,
2026/02/13,Denmark,2011,5.0,Waste and wastewater management,5(e),DK.EEA/2458.FACILITY,Hanstholm Fiskemelfabrik A/S,Hanstholm           ,8.62212659807449,57.1232496984237,,Total organic carbon(as total C or COD/3) (TOC),67900.0,
2026/02/13,Denmark,2011,8.0,Animal and vegetable products from the food and beverage sector,8(b),DK.EEA/6146.FACILITY,Carlsberg Danmark A/S             Tuborg FB/Terminal Vest/Fredericia,Fredericia          ,9.72853900268673,55.5846797169089,,Total organic carbon(as total C or COD/3) (TOC),1920000.0,
