PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,wasteTreatment,wasteClassification,wasteTransfers,confidentialityReason
2026/02/13,Sweden,2019.0,2.0,Production and processing of metals,2(d),SE.CAED/10017305.Facility,Sandvik SRP AB,SVEDALA,13.23075,55.50829,,Disposal,NONHW,6520.0,
2026/02/13,Sweden,2010.0,5.0,Waste and wastewater management,5(d),SE.CAED/10016413.Facility,Bredemads avfallsanläggning,LJUNGBY,13.92804,56.86678,,Recovery,NONHW,7550.0,
2026/02/13,Sweden,2015.0,2.0,Production and processing of metals,2(f),SE.CAED/10014964.Facility,Saab AB,LINKÖPING,15.66833,58.40707,,Disposal,HW,561.0,
2026/02/13,Denmark,2020.0,,,,DK.CAED/000060892.FACILITY,MV FARLIGT AFFALD Stena Hjørring,Hjørring,10.033675893454838,57.4533682749648,,Recovery,HW,4676.0,
2026/02/13,Norway,2008.0,5.0,Waste and wastewater management,5(a),NO.EEA/1576.0008.01.FACILITY,SLETT,Kristiansund N,7.777419,63.1066856,,Disposal,HW,563.0,
2026/02/13,Sweden,2015.0,9.0,Other activities,9(c),SE.CAED/10019802.Facility,National Electric Vehicle Sweden AB,TROLLHÄTTAN,12.3323,58.31508,,Recovery,HW,61.0,
2026/02/13,Sweden,2010.0,5.0,Waste and wastewater management,5(b),SE.CAED/10021818.Facility,Avfallsförbränning Avesta (Källhagsverket),AVESTA,16.15358,60.1342,,Recovery,HW,2020.0,
2026/02/13,Sweden,2010.0,5.0,Waste and wastewater management,5(b),SE.CAED/10018264.Facility,Beleverket i Hässleholm,HÄSSLEHOLM,13.79331,56.16321,,Disposal,NONHW,12100.0,
2026/02/13,Sweden,2009.0,5.0,Waste and wastewater management,5(d),SE.CAED/10014112.Facility,Tveta Återvinningsanläggning,SÖDERTÄLJE,17.57212,59.13715,,Disposal,HW,158.0,
2026/02/13,Norway,2015.0,2.0,Production and processing of metals,2(f),NO.EEA/0529.0007.01.FACILITY,Hydal Aluminium Profiler AS Raufoss,Raufoss,10.6071386,60.7363434,,Disposal,HW,909.0,
2026/02/13,Sweden,2021.0,4.0,Chemical industry,4(a)(viii),SE.CAED/10017771.Facility,Dow Sverige AB,LANDSKRONA,12.85252,55.87375,,Disposal,HW,90.3,
2026/02/13,Sweden,2016.0,8.0,Animal and vegetable products from the food and beverage sector,8(b),SE.CAED/10017607.Facility,Atria Sverige AB,MALMÖ,13.05445,55.55595,,Recovery,HW,5.13,
2026/02/13,Sweden,2020.0,5.0,Waste and wastewater management,5(c),SE.CAED/10018776.Facility,Barnamossens AFA,KUNGSBACKA,12.14367,57.52358,,Recovery,NONHW,11900.0,
2026/02/13,Sweden,2018.0,2.0,Production and processing of metals,2(b),SE.CAED/10020557.Facility,Hagfors Järnverk,HAGFORS,13.68815,60.03201,,Disposal,NONHW,233.0,
2026/02/13,Sweden,2024.0,1.0,Energy sector,1(c),SE.CAED/10021163.Facility,Västerås kraftvärmeverk,VÄSTERÅS,16.51352,59.58845,,Recovery,HW,41961.0,
2026/02/13,Sweden,2009.0,5.0,Waste and wastewater management,5(d),SE.CAED/10015127.Facility,Häradsuddens avfallsanläggning,NORRKÖPING,16.07384,58.53435,,Recovery,NONHW,30700.0,
2026/02/13,Denmark,2009.0,9.0,Other activities,9(c),DK.EEA/280.FACILITY,ALLER TRYK A/S,Taastrup            ,12.279059597394,55.6625879069375,,Disposal,HW,35.1,
2026/02/13,Sweden,2016.0,4.0,Chemical industry,4(a)(viii),SE.CAED/10018831.Facility,Inovyn Sverige AB,STENUNGSUND,11.8121,58.08192,,Disposal,HW,77.0,
2026/02/13,Denmark,2024.0,5.0,Waste and wastewater management,5(d),DK.CAED/000104566.FACILITY,Genbrugsgården,Kvistgård,12.49230135315358,55.98459575986317,,Disposal,HW,0.038,
2026/02/13,Sweden,2019.0,2.0,Production and processing of metals,2(d),SE.CAED/10020468.Facility,Valmet AB - Städet 7,KARLSTAD,13.53859,59.37589,,Disposal,HW,12.0,
2026/02/13,Norway,2009.0,8.0,Animal and vegetable products from the food and beverage sector,8(b)(i),NO.EEA/0125.0013.01.FACILITY,NORTURA SA AVD HÆRLAND,Hærland,11.4220552,59.5462532,,Recovery,NONHW,2830.0,
2026/02/13,Sweden,2014.0,5.0,Waste and wastewater management,5(d),SE.CAED/10017956.Facility,Rönneholms avfallsanläggning,STEHAG,13.40667,55.91732,,Recovery,NONHW,30600.0,
2026/02/13,Sweden,2008.0,4.0,Chemical industry,4(b)(v),SE.CAED/10017515.Facility,Johnson Matthey Formox AB,PERSTORP,13.38469,56.12651,,Recovery,HW,35.786,
2026/02/13,Denmark,2016.0,8.0,Animal and vegetable products from the food and beverage sector,8(c),DK.EEA/396.FACILITY,Arla Foods amba - Branderup,Branderup,9.07178187457836,55.1205806340891,,Recovery,HW,15.0,
2026/02/13,Norway,2013.0,8.0,Animal and vegetable products from the food and beverage sector,8(a),NO.EEA/192319.FACILITY,Scanbio Bjugn A.S,Bjugn,9.758227,63.7627563,,Disposal,HW,19.0,
