PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Norway,2013,3,Mineral industry,Mercury and compounds (as Hg),25
2026/02/13,Czechia,2014,1,Energy sector,Arsenic and compounds (as As),1363.4
2026/02/13,Italy,2008,1,Energy sector,Nitrogen oxides (NOX),103953000
2026/02/13,Spain,2018,1,Energy sector,Carbon dioxide (CO2),72295000000
2026/02/13,Serbia,2022,1,Energy sector,Sulphur oxides (SOX),308764000
2026/02/13,United Kingdom,2018,5,Waste and wastewater management,"1,1,1-trichloroethane (TCE-1,1,1)",1751
2026/02/13,Spain,2011,1,Energy sector,Nitrogen oxides (NOX),216190000
2026/02/13,Italy,2020,2,Production and processing of metals,Nitrogen oxides (NOX),8543804.17
2026/02/13,United Kingdom,2017,1,Energy sector,Carbon dioxide (CO2) excluding biomass,15557000000
2026/02/13,France,2011,8,Animal and vegetable products from the food and beverage sector,Lead and compounds (as Pb),252
2026/02/13,Slovakia,2010,3,Mineral industry,Carbon dioxide (CO2),3040000000
2026/02/13,France,2022,1,Energy sector,Benzene,65410
2026/02/13,Romania,2022,5,Waste and wastewater management,Methane (CH4),17758000
2026/02/13,Poland,2015,1,Energy sector,Nitrogen oxides (NOX),173781000
2026/02/13,Belgium,2011,6,Paper and wood production and processing,Lead and compounds (as Pb),761
2026/02/13,Germany,2024,4,Chemical industry,Carbon dioxide (CO2),18856000000
2026/02/13,Czechia,2021,,,Carbon dioxide (CO2) excluding biomass,6481000
2026/02/13,Finland,2011,2,Production and processing of metals,Particulate matter (PM10),604000
2026/02/13,Italy,2020,3,Mineral industry,Nitrogen oxides (NOX),26090643.4
2026/02/13,Netherlands,2014,8,Animal and vegetable products from the food and beverage sector,Hydrochlorofluorocarbons (HCFCs),3395.6
2026/02/13,Poland,2017,3,Mineral industry,Particulate matter (PM10),918800
2026/02/13,Slovenia,2013,3,Mineral industry,Methane (CH4),11222000
2026/02/13,Finland,2014,2,Production and processing of metals,Naphthalene,191
2026/02/13,Ireland,2008,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.001477
2026/02/13,France,2016,3,Mineral industry,Zinc and compounds (as Zn),1374
2026/02/13,Spain,2010,2,Production and processing of metals,Nitrogen oxides (NOX),10069000
2026/02/13,Poland,2017,2,Production and processing of metals,Particulate matter (PM10),2160000
2026/02/13,Portugal,2020,1,Energy sector,Cadmium and compounds (as Cd),111.6
2026/02/13,Hungary,2016,4,Chemical industry,Carbon dioxide (CO2),2253000000
2026/02/13,Hungary,2007,4,Chemical industry,Carbon monoxide (CO),883000
2026/02/13,Portugal,2016,1,Energy sector,Nitrous oxide (N2O),663600
2026/02/13,Germany,2010,8,Animal and vegetable products from the food and beverage sector,Carbon dioxide (CO2),1594000000
2026/02/13,France,2022,2,Production and processing of metals,Non-methane volatile organic compounds (NMVOC),3239000
2026/02/13,Poland,2017,2,Production and processing of metals,Arsenic and compounds (as As),639.4
2026/02/13,France,2015,5,Waste and wastewater management,Dichloromethane (DCM),1090
2026/02/13,Denmark,2020,4,Chemical industry,Chlorine and inorganic compounds (as HCl),319
2026/02/13,Germany,2016,6,Paper and wood production and processing,Sulphur oxides (SOX),1352000
2026/02/13,Sweden,2024,6,Paper and wood production and processing,Ammonia (NH3),1440283.9
2026/02/13,Czechia,2022,5,Waste and wastewater management,Chlorine and inorganic compounds (as HCl),47
2026/02/13,Bulgaria,2021,1,Energy sector,Zinc and compounds (as Zn),11445
2026/02/13,Norway,2009,2,Production and processing of metals,Arsenic and compounds (as As),81.3
2026/02/13,Estonia,2007,1,Energy sector,Copper and compounds (as Cu),2373
2026/02/13,Sweden,2009,6,Paper and wood production and processing,Carbon monoxide (CO),17705000
2026/02/13,Finland,2008,6,Paper and wood production and processing,Naphthalene,1063
2026/02/13,France,2007,1,Energy sector,Particulate matter (PM10),5354400
2026/02/13,France,2007,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.048362999999999996
2026/02/13,Bulgaria,2016,5,Waste and wastewater management,Methane (CH4),34091000
2026/02/13,Austria,2007,8,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),179000
2026/02/13,France,2009,4,Chemical industry,Cadmium and compounds (as Cd),54.1
2026/02/13,Germany,2010,5,Waste and wastewater management,Sulphur oxides (SOX),1760000
2026/02/13,Austria,2007,3,Mineral industry,Mercury and compounds (as Hg),122.5
2026/02/13,Italy,2023,2,Production and processing of metals,Polychlorinated biphenyls (PCBs),0.4517
2026/02/13,United Kingdom,2010,1,Energy sector,Arsenic and compounds (as As),612.9
2026/02/13,Netherlands,2013,1,Energy sector,Nickel and compounds (as Ni),55
2026/02/13,Italy,2009,6,Paper and wood production and processing,Carbon dioxide (CO2),918000000
2026/02/13,Italy,2015,4,Chemical industry,Nitrogen oxides (NOX),4181000
2026/02/13,France,2010,5,Waste and wastewater management,"1,1,1-trichloroethane (TCE-1,1,1)",51400
2026/02/13,Sweden,2022,1,Energy sector,Nickel and compounds (as Ni),66
2026/02/13,Greece,2015,1,Energy sector,Lead and compounds (as Pb),1959
2026/02/13,United Kingdom,2012,3,Mineral industry,Nitrogen oxides (NOX),28117000
